================================================================================
动销品管理记录 - 2026-01-14
表名: ROA1_DE
记录时间: 2026-01-15 20:01:39
================================================================================

【统计信息】
日期：2026-01-14
前一天上升期：1个
计算上升期：2个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：1个（选定日期Status=1的数量）
差值：1个
非上升期：226个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【新增上升期商品ID】
商品数量: 1个
goods_id: 604251883428774

【上升期商品】
商品数量: 1个

604066126115679 - 加入时间: 2025-11-04, Reason: Out_of_stock
604068810428380 - 加入时间: 2026-01-03, Reason: None
604075789753313 - 加入时间: 2025-12-30, Reason: Secondary_traffic_restricted
604080084777782 - 加入时间: 2025-11-29, Reason: Blocked
604094043413774 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
604100485809876 - 加入时间: 2025-11-01, Reason: Secondary_traffic_restricted
604106928321923 - 加入时间: 2025-10-30, Reason: Out_of_stock
604113370727799 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
604120350059962 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
604130013763820 - 加入时间: 2026-01-03, Reason: Secondary_traffic_restricted
604134308728403 - 加入时间: 2026-01-05, Reason: None
604134845587017 - 加入时间: 2025-11-02, Reason: Secondary_traffic_restricted
604136993088854 - 加入时间: 2026-01-04, Reason: Secondary_traffic_restricted
604139140520554 - 加入时间: 2025-11-23, Reason: Out_of_stock
604141288034500 - 加入时间: 2025-11-29, Reason: Out_of_stock
604148804203811 - 加入时间: 2025-12-14, Reason: None
604149005532552 - 加入时间: 2025-12-13, Reason: Secondary_traffic_restricted
604154172944424 - 加入时间: 2025-11-19, Reason: Out_of_stock
604157931017710 - 加入时间: 2025-12-22, Reason: None
604169205318010 - 加入时间: 2025-10-27, Reason: None
604172426534640 - 加入时间: 2025-12-03, Reason: None
604179942765834 - 加入时间: 2025-11-10, Reason: Secondary_traffic_restricted
604180479619221 - 加入时间: 2025-10-19, Reason: Secondary_traffic_restricted
604182627078711 - 加入时间: 2025-11-17, Reason: Out_of_stock
604199270103634 - 加入时间: 2025-11-01, Reason: Secondary_traffic_restricted
604210544386604 - 加入时间: 2025-11-19, Reason: Out_of_stock
604212154992718 - 加入时间: 2025-10-26, Reason: Secondary_traffic_restricted
604214302485195 - 加入时间: 2025-10-29, Reason: Blocked
604227187360348 - 加入时间: 2025-11-09, Reason: Out_of_stock
604230945445769 - 加入时间: 2025-12-11, Reason: Secondary_traffic_restricted
604234166725033 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
604237924764034 - 加入时间: 2025-11-04, Reason: Out_of_stock
604240072274900 - 加入时间: 2025-11-23, Reason: Out_of_stock
604242756611386 - 加入时间: 2025-12-01, Reason: Secondary_traffic_restricted
604242756662811 - 加入时间: 2025-11-29, Reason: Out_of_stock
604248662198873 - 加入时间: 2025-11-11, Reason: Normal
604261547134714 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
604271747643707 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
604277116362932 - 加入时间: 2025-11-07, Reason: Out_of_stock
604281411348141 - 加入时间: 2025-11-24, Reason: Secondary_traffic_restricted
604283021974638 - 加入时间: 2025-11-24, Reason: Secondary_traffic_restricted
604285169426646 - 加入时间: 2025-12-27, Reason: None
