================================================================================
动销品管理记录 - 2026-01-19
表名: ROA1_FR
记录时间: 2026-01-20 15:12:55
================================================================================

【统计信息】
日期：2026-01-19
前一天上升期：17个
计算上升期：17个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：0个（选定日期Status=1的数量）
差值：17个
非上升期：244个
新增上升期：0个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【非上升期商品】
商品数量: 244个

604091895926869 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
604093170962658 - 加入时间: 2025-12-15, Reason: Secondary_traffic_restricted
604095117154721 - 加入时间: 2025-12-05, Reason: Out_of_stock
604096190844596 - 加入时间: 2025-10-23, Reason: Secondary_traffic_restricted
604098875251847 - 加入时间: 2025-12-01, Reason: Secondary_traffic_restricted
604106391451468 - 加入时间: 2025-11-16, Reason: Secondary_traffic_restricted
604107465146953 - 加入时间: 2025-11-08, Reason: Blocked
604114645831965 - 加入时间: 2025-12-22, Reason: None
604114981376666 - 加入时间: 2025-11-19, Reason: Secondary_traffic_restricted
604126792532086 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
604132698101606 - 加入时间: 2026-01-01, Reason: Secondary_traffic_restricted
604133234952950 - 加入时间: 2025-12-01, Reason: Secondary_traffic_restricted
604143972371655 - 加入时间: 2025-11-22, Reason: None
604150951697812 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
604160615414220 - 加入时间: 2025-10-29, Reason: Secondary_traffic_restricted
604161689134798 - 加入时间: 2025-12-01, Reason: Blocked
604168131599498 - 加入时间: 2025-11-08, Reason: None
604169205286264 - 加入时间: 2025-10-23, Reason: Secondary_traffic_restricted
604171352796506 - 加入时间: 2026-01-06, Reason: Secondary_traffic_restricted
604180479593417 - 加入时间: 2026-01-05, Reason: None
604185311464262 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
604186922049056 - 加入时间: 2025-10-18, Reason: None
604191753914304 - 加入时间: 2025-12-17, Reason: None
604192827620400 - 加入时间: 2025-12-25, Reason: None
604194438219378 - 加入时间: 2025-10-12, Reason: Out_of_stock
604196585701718 - 加入时间: 2025-10-25, Reason: Secondary_traffic_restricted
604197122585547 - 加入时间: 2025-12-07, Reason: Out_of_stock
604198733216324 - 加入时间: 2025-11-19, Reason: Blocked
604204101916828 - 加入时间: 2025-11-07, Reason: Secondary_traffic_restricted
604221281827925 - 加入时间: 2025-11-11, Reason: Out_of_stock
604223429255389 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
604223966130764 - 加入时间: 2025-12-10, Reason: None
604232556053216 - 加入时间: 2025-11-20, Reason: Secondary_traffic_restricted
604233629835847 - 加入时间: 2025-11-16, Reason: Secondary_traffic_restricted
604244367222542 - 加入时间: 2025-11-02, Reason: Out_of_stock
604248662223803 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
604252420329023 - 加入时间: 2025-12-13, Reason: Secondary_traffic_restricted
604258862771553 - 加入时间: 2025-12-28, Reason: Blocked
604265623991341 - 加入时间: 2025-12-30, Reason: Secondary_traffic_restricted
604267989554757 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
604268526448968 - 加入时间: 2025-12-29, Reason: Out_of_stock
604269264604677 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
604272284556593 - 加入时间: 2025-10-29, Reason: Secondary_traffic_restricted
604275505767136 - 加入时间: 2025-11-08, Reason: None
604279263843657 - 加入时间: 2025-12-12, Reason: Secondary_traffic_restricted
604286444531879 - 加入时间: 2025-11-27, Reason: Out_of_stock
604287853808360 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
604292148760396 - 加入时间: 2026-01-19, Reason: None
604294296256377 - 加入时间: 2026-01-19, Reason: None
604294564667794 - 加入时间: 2025-12-11, Reason: Secondary_traffic_restricted
604295906869250 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
604296980585716 - 加入时间: 2025-12-27, Reason: None
604297517440722 - 加入时间: 2025-11-15, Reason: Secondary_traffic_restricted
604299664916995 - 加入时间: 2025-10-06, Reason: Secondary_traffic_restricted
604306644269235 - 加入时间: 2025-11-26, Reason: Secondary_traffic_restricted
604320066012484 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
604320066042838 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted
604322213542022 - 加入时间: 2025-12-24, Reason: None
604329394166711 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
604330803489759 - 加入时间: 2025-11-30, Reason: Secondary_traffic_restricted
604342614646731 - 加入时间: 2025-11-04, Reason: Out_of_stock
604355499531666 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
604355499538478 - 加入时间: 2025-11-26, Reason: Blocked
604356036397419 - 加入时间: 2025-12-26, Reason: None
604365700067354 - 加入时间: 2025-11-26, Reason: Out_of_stock
604366773842877 - 加入时间: 2026-01-07, Reason: None
604369458154449 - 加入时间: 2025-11-07, Reason: Secondary_traffic_restricted
604380933810334 - 加入时间: 2025-12-30, Reason: Out_of_stock
604392543601589 - 加入时间: 2025-12-25, Reason: None

【计算上升期中有但实际上升期中没有的商品ID】
商品数量: 17个
goods_id: 603350477183884, 603358731588050, 603815407395298, 603436376502933, 603452482629945, 603653272362294, 603547710100622, 604355499550420, 603701590757140, 603450872021879, 603794469433356, 603448925898970, 604121423819585, 603552877487720, 604218597426880, 603862115124648, 603799301236566

================================================================================
