================================================================================
动销品管理记录 - 2025-12-19
表名: ROA1_IT
记录时间: 2026-01-13 16:50:30
================================================================================

【统计信息】
日期：2025-12-19
前一天上升期：21个
计算上升期：21个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：21个（选定日期Status=1的数量）
差值：0个
非上升期：605个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：4个
！！！由上升期到非上升期：5个

【新增上升期商品ID】
商品数量: 1个
goods_id: 603340813518315

【由非上升期重回上升期商品ID】
商品数量: 4个
goods_id: 603372270760802, 603505095979799, 603640387440388, 603889495573287

【！！！由上升期到非上升期商品ID】
商品数量: 5个
goods_id: 603617838903271, 603728434306468, 603798227500003, 603971636823743, 604256715296309

【上升期商品】
商品数量: 21个

603762794018423 - 加入时间: 2025-11-16, Reason: None
603763330909882 - 加入时间: 2025-12-10, Reason: Secondary_traffic_restricted
603763330935753 - 加入时间: 2025-11-29, Reason: None
603764404659246 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
603764941545498 - 加入时间: 2025-11-19, Reason: Secondary_traffic_restricted
603766552149706 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
603766753482678 - 加入时间: 2025-12-01, Reason: None
603768162749184 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted
603769773372220 - 加入时间: 2025-10-06, Reason: Secondary_traffic_restricted
603770310237972 - 加入时间: 2025-11-05, Reason: Secondary_traffic_restricted
603771383955447 - 加入时间: 2025-11-27, Reason: Secondary_traffic_restricted
603776752685829 - 加入时间: 2025-10-31, Reason: None
603779168594280 - 加入时间: 2025-11-02, Reason: Secondary_traffic_restricted
603779973902875 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
603779973912352 - 加入时间: 2025-10-20, Reason: Secondary_traffic_restricted
603780510809724 - 加入时间: 2025-11-19, Reason: Secondary_traffic_restricted
603782121391213 - 加入时间: 2025-11-02, Reason: Secondary_traffic_restricted
603782658242535 - 加入时间: 2025-12-08, Reason: Out_of_stock
603784268868347 - 加入时间: 2025-11-09, Reason: Out_of_stock
603785879470401 - 加入时间: 2025-11-15, Reason: None
603789100685498 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
603791785075157 - 加入时间: 2026-01-02, Reason: None
603793932570327 - 加入时间: 2025-12-19, Reason: None
603795543162367 - 加入时间: 2025-11-14, Reason: None
603796080027482 - 加入时间: 2025-10-19, Reason: Secondary_traffic_restricted
603797153803919 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603797690656945 - 加入时间: 2025-11-16, Reason: Secondary_traffic_restricted
603798227500003 - 加入时间: 2025-12-16, Reason: None
603799301278105 - 加入时间: 2025-12-02, Reason: None
603800375028822 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
603804669983030 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603805743739400 - 加入时间: 2025-10-14, Reason: Secondary_traffic_restricted
603808428040972 - 加入时间: 2025-10-22, Reason: Secondary_traffic_restricted
603808964964906 - 加入时间: 2026-01-06, Reason: None
603810575555515 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603812186181356 - 加入时间: 2026-01-01, Reason: None
603813259892373 - 加入时间: 2025-11-05, Reason: Secondary_traffic_restricted
603813259933576 - 加入时间: 2025-11-19, Reason: None
603814870504482 - 加入时间: 2025-10-19, Reason: None
603815407378339 - 加入时间: 2025-10-29, Reason: Secondary_traffic_restricted
603815944261269 - 加入时间: 2025-11-26, Reason: None
603819165476113 - 加入时间: 2025-10-19, Reason: None
603822923595353 - 加入时间: 2025-12-28, Reason: None
603826144832257 - 加入时间: 2025-11-12, Reason: None
603830439772641 - 加入时间: 2025-11-11, Reason: Secondary_traffic_restricted
603835808481989 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
603836345348336 - 加入时间: 2025-11-15, Reason: None
603836345362357 - 加入时间: 2025-11-05, Reason: Secondary_traffic_restricted
603844935313639 - 加入时间: 2025-10-23, Reason: None
603850840857655 - 加入时间: 2025-10-20, Reason: None
603851914588468 - 加入时间: 2025-10-26, Reason: Secondary_traffic_restricted
603856209607261 - 加入时间: 2025-12-04, Reason: None
603857283314739 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
603857820192852 - 加入时间: 2025-12-13, Reason: None
603863188924129 - 加入时间: 2026-01-06, Reason: None
603864262626966 - 加入时间: 2025-11-18, Reason: Out_of_stock
603864799536829 - 加入时间: 2025-12-04, Reason: None
603865336391241 - 加入时间: 2025-11-12, Reason: None
